variant,jobid,epoch,train_loss,val_ic,val_ic_ir,hit@50,spread@50
A,8667054,0,0.027400,-0.000650,-0.0080,0.4770,+0.000150
A,8667054,1,0.014400,0.004110,0.0240,0.4820,+0.000230
A,8667054,2,-0.006100,0.017130,0.1690,0.5480,+0.002670
A,8667054,3,-0.021590,0.019510,0.1870,0.5740,+0.002820
A,8667054,4,-0.041250,0.023330,0.1730,0.5740,+0.002300
A,8667054,5,-0.038880,0.022660,0.1450,0.5690,+0.002560
A,8667054,6,-0.067560,0.022570,0.1450,0.5630,+0.001950
A,8667054,7,-0.079100,0.021760,0.1460,0.5280,+0.001740
A,8667054,8,-0.077660,0.021560,0.1620,0.5940,+0.002490
A,8667054,9,-0.090440,0.020170,0.1520,0.5130,+0.001940
A,8667054,10,-0.078830,0.020760,0.1230,0.5690,+0.002370
A,8667054,11,-0.084450,0.021610,0.1530,0.5890,+0.002280
A,8667054,12,-0.103650,0.013960,0.0790,0.5330,+0.001660
A,8667054,13,-0.091070,0.014270,0.0820,0.5790,+0.002190
A,8667054,14,-0.107840,0.018880,0.1630,0.5940,+0.002410
A,8667054,15,-0.087380,0.017350,0.1090,0.5740,+0.002550
A,8667054,16,-0.094980,0.010900,0.0870,0.5790,+0.001070
A,8667054,17,-0.107250,0.019460,0.1410,0.5740,+0.002130
A,8667054,18,-0.107170,0.010320,0.1040,0.5330,+0.001620
A,8667054,19,-0.122960,0.017520,0.1330,0.5790,+0.002300
A,8667054,20,-0.094000,0.019830,0.1370,0.5740,+0.002460
A,8667054,21,-0.114190,0.010340,0.1110,0.5380,+0.000950
A,8667054,22,-0.123220,0.018680,0.1460,0.6190,+0.002500
A,8667054,23,-0.114620,0.018360,0.1690,0.6240,+0.002480
A,8667054,24,-0.127780,0.015570,0.1580,0.5690,+0.002190
A,8667054,25,-0.106530,0.015620,0.1330,0.6040,+0.002070
A,8667054,26,-0.116520,0.010050,0.1000,0.5530,+0.001910
A,8667054,27,-0.128770,0.015770,0.1350,0.6140,+0.002270
A,8667054,28,-0.115000,0.014570,0.1510,0.6140,+0.001880
B,8671792,0,0.000070,-0.008290,-0.0610,0.4970,-0.000470
B,8671792,1,0.002340,-0.006040,-0.0430,0.5080,+0.000030
B,8671792,2,-0.000170,0.001420,0.0100,0.5580,+0.000550
B,8671792,3,-0.000270,0.003110,0.0270,0.5280,+0.000910
B,8671792,4,-0.006150,0.007530,0.0620,0.5380,+0.000520
B,8671792,5,-0.006470,0.012210,0.0960,0.5380,+0.001420
B,8671792,6,-0.004000,0.006150,0.0540,0.5030,-0.000180
B,8671792,7,-0.003910,0.009510,0.0860,0.5430,+0.000570
B,8671792,8,-0.007500,0.014170,0.1250,0.5330,+0.000670
B,8671792,9,-0.008950,0.019050,0.1630,0.5990,+0.001670
B,8671792,10,-0.013490,0.018400,0.1340,0.5690,+0.001960
B,8671792,11,-0.011280,0.019230,0.1600,0.6290,+0.002490
B,8671792,12,-0.015910,0.021300,0.1770,0.6190,+0.002720
B,8671792,13,-0.014210,0.021580,0.1800,0.6190,+0.002950
B,8671792,14,-0.021280,0.021590,0.1810,0.6140,+0.002460
B,8671792,15,-0.021350,0.019420,0.1530,0.6040,+0.002950
B,8671792,16,-0.023800,0.022770,0.1970,0.6240,+0.003100
B,8671792,17,-0.025140,0.023760,0.2020,0.6350,+0.003530
B,8671792,18,-0.028370,0.020820,0.1660,0.6140,+0.003260
B,8671792,19,-0.033640,0.024590,0.1980,0.5990,+0.003340
B,8671792,20,-0.028550,0.024050,0.1950,0.6240,+0.003250
B,8671792,21,-0.035630,0.021480,0.1710,0.6190,+0.003370
B,8671792,22,-0.041580,0.019750,0.1510,0.6140,+0.002880
B,8671792,23,-0.040550,0.022410,0.1800,0.6190,+0.003320
B,8671792,24,-0.048780,0.018830,0.1450,0.6040,+0.002760
B,8671792,25,-0.047780,0.020680,0.1590,0.6290,+0.002780
B,8671792,26,-0.053370,0.021220,0.1680,0.5890,+0.002910
B,8671792,27,-0.062120,0.022820,0.1840,0.6140,+0.003000
B,8671792,28,-0.051400,0.020900,0.1620,0.5790,+0.002560
B,8671792,29,-0.067270,0.021100,0.1620,0.5630,+0.002450
B,8671792,30,-0.064530,0.020060,0.1480,0.5890,+0.002230
B,8671792,31,-0.072540,0.019730,0.1410,0.5990,+0.002670
B,8671792,32,-0.079630,0.023270,0.1780,0.6090,+0.002980
B,8671792,33,-0.077690,0.020550,0.1600,0.5740,+0.002170
B,8671792,34,-0.093070,0.021390,0.1580,0.5890,+0.002470
B,8671792,35,-0.074690,0.020850,0.1570,0.5890,+0.002090
B,8671792,36,-0.081910,0.022570,0.1660,0.5840,+0.002450
B,8671792,37,-0.099460,0.021890,0.1630,0.5890,+0.002300
B,8671792,38,-0.084480,0.021300,0.1620,0.5940,+0.002130
B,8671792,39,-0.103170,0.023410,0.1850,0.6040,+0.002670
B,8671792,40,-0.077510,0.020280,0.1530,0.5790,+0.002010
B,8671792,41,-0.087730,0.021570,0.1730,0.5990,+0.002280
B,8671792,42,-0.108580,0.021310,0.1630,0.5840,+0.002020
B,8671792,43,-0.099110,0.020960,0.1600,0.5790,+0.001980
B,8671792,44,-0.111200,0.022130,0.1630,0.5630,+0.002700
B,8671792,45,-0.088830,0.022820,0.1760,0.5690,+0.002200
B,8671792,46,-0.100530,0.021190,0.1680,0.5790,+0.002320
B,8671792,47,-0.118480,0.022430,0.1720,0.5690,+0.002030
B,8671792,48,-0.101810,0.020630,0.1520,0.5330,+0.001890
C,8676164,0,-0.002050,0.012270,0.1050,0.5430,+0.001510
C,8676164,1,-0.001910,0.015700,0.1530,0.5740,+0.002500
C,8676164,2,0.000470,0.012870,0.1240,0.6450,+0.002410
C,8676164,3,-0.005590,0.008030,0.0880,0.6290,+0.002250
C,8676164,4,-0.011800,0.014070,0.1090,0.5230,+0.001580
C,8676164,5,-0.023530,0.024890,0.1770,0.5430,+0.002270
C,8676164,6,-0.050530,0.022720,0.1440,0.5890,+0.002470
C,8676164,7,-0.073860,0.023950,0.1600,0.5890,+0.002810
C,8676164,8,-0.083350,0.021830,0.1410,0.5790,+0.002540
C,8676164,9,-0.091770,0.019530,0.1110,0.5630,+0.001780
C,8676164,10,-0.070570,0.017360,0.0960,0.5790,+0.002060
C,8676164,11,-0.100610,0.020780,0.1260,0.5630,+0.002280
C,8676164,12,-0.112060,0.021380,0.1330,0.5580,+0.002720
C,8676164,13,-0.096630,0.019710,0.1190,0.5790,+0.002500
C,8676164,14,-0.114930,0.018760,0.1180,0.5740,+0.002400
C,8676164,15,-0.098550,0.013030,0.0730,0.5430,+0.002090
C,8676164,16,-0.108400,0.015300,0.1170,0.6190,+0.002860
C,8676164,17,-0.124210,0.013020,0.0910,0.5990,+0.002420
C,8676164,18,-0.109840,0.013460,0.0900,0.5840,+0.002360
C,8676164,19,-0.126210,0.010620,0.0690,0.5630,+0.002110
C,8676164,20,-0.109130,0.013280,0.1060,0.6090,+0.002630
C,8676164,21,-0.108420,0.013380,0.1010,0.5990,+0.002310
C,8676164,22,-0.126580,0.016560,0.1320,0.6190,+0.002850
C,8676164,23,-0.114100,0.012410,0.0840,0.5790,+0.002680
C,8676164,24,-0.138670,0.017340,0.1240,0.5740,+0.002560
C,8676164,25,-0.115220,0.012610,0.1000,0.5940,+0.002070
C,8676164,26,-0.126190,0.012000,0.0800,0.5690,+0.002530
C,8676164,27,-0.128820,0.015060,0.1260,0.5790,+0.002390
C,8676164,28,-0.126920,0.013580,0.0970,0.5790,+0.002420
C,8676164,29,-0.141690,0.013250,0.0960,0.5790,+0.001770
C,8676164,30,-0.094340,0.015640,0.1020,0.6040,+0.002740
C,8676164,31,-0.131630,0.014570,0.1200,0.6040,+0.002270
C,8676164,32,-0.138910,0.015710,0.1260,0.5890,+0.002040
C,8676164,33,-0.127840,0.016130,0.1330,0.5690,+0.002240
C,8676164,34,-0.138010,0.018500,0.1360,0.5840,+0.002780
C,8676164,35,-0.121490,0.013690,0.0980,0.5790,+0.001800
C,8676164,36,-0.127540,0.015920,0.1310,0.5840,+0.001630
C,8676164,37,-0.150120,0.010840,0.0880,0.5840,+0.001690
C,8676164,38,-0.129620,0.016090,0.1350,0.6400,+0.002610
C,8676164,39,-0.151780,0.013760,0.1100,0.6040,+0.002130
C,8676164,40,-0.112960,0.015010,0.1230,0.5890,+0.002080
C,8676164,41,-0.137630,0.015140,0.1270,0.6240,+0.002070
C,8676164,42,-0.151150,0.013120,0.1170,0.6140,+0.001820
C,8676164,43,-0.136230,0.016280,0.1390,0.6140,+0.002030
C,8676164,44,-0.160460,0.015980,0.1260,0.5790,+0.001890
C,8676164,45,-0.135890,0.013210,0.1110,0.5690,+0.001890
C,8676164,46,-0.135580,0.019460,0.1780,0.6090,+0.002740
C,8676164,47,-0.144510,0.025420,0.2230,0.6350,+0.002900
C,8676164,48,-0.143480,0.019160,0.1520,0.5840,+0.002090
C,8676164,49,-0.153510,0.021110,0.1750,0.6240,+0.002370
C,8676164,50,-0.129320,0.019620,0.1470,0.6190,+0.002570
C,8676164,51,-0.147960,0.020960,0.1950,0.6240,+0.002540
C,8676164,52,-0.155430,0.018350,0.1700,0.5890,+0.002150
C,8676164,53,-0.144720,0.021330,0.1780,0.5380,+0.002040
C,8676164,54,-0.161210,0.021930,0.1810,0.6350,+0.002700
C,8676164,55,-0.139220,0.019490,0.1630,0.6240,+0.002490
C,8676164,56,-0.157890,0.019610,0.1670,0.6240,+0.002660
C,8676164,57,-0.157300,0.021410,0.2140,0.6450,+0.002790
C,8676164,58,-0.154120,0.019850,0.1820,0.6090,+0.002030
C,8676164,59,-0.166000,0.018050,0.1680,0.5990,+0.002050
C,8676164,60,-0.138780,0.014810,0.1220,0.5630,+0.001490
C,8676164,61,-0.149530,0.017500,0.1630,0.6190,+0.002690
C,8676164,62,-0.163430,0.016660,0.1540,0.5940,+0.002430
C,8676164,63,-0.149670,0.019760,0.1830,0.6140,+0.002430
C,8676164,64,-0.172180,0.016920,0.1580,0.6190,+0.002040
C,8676164,65,-0.147660,0.015190,0.1450,0.5940,+0.002180
C,8676164,66,-0.156950,0.016560,0.1410,0.6090,+0.002210
C,8676164,67,-0.159220,0.015240,0.1500,0.5530,+0.001760
C,8676164,68,-0.150300,0.015630,0.1440,0.5630,+0.001970
C,8676164,69,-0.175870,0.012880,0.1300,0.5990,+0.001630
C,8676164,70,-0.151110,0.014930,0.1230,0.5940,+0.001700
C,8676164,71,-0.163270,0.015140,0.1400,0.6140,+0.002250
C,8676164,72,-0.168590,0.016450,0.1520,0.5990,+0.001990
C,8676164,73,-0.160970,0.017220,0.1350,0.6140,+0.002340
C,8676164,74,-0.182230,0.013460,0.1240,0.5480,+0.001250
C,8676164,75,-0.153060,0.009430,0.0870,0.5430,+0.001340
C,8676164,76,-0.169270,0.013480,0.1240,0.5690,+0.001540
C,8676164,77,-0.168950,0.015030,0.1310,0.6450,+0.002640
C,8676164,78,-0.153000,0.014170,0.1240,0.5990,+0.002110
C,8676164,79,-0.172460,0.012620,0.1130,0.6140,+0.002120
C,8676164,80,-0.155180,0.011600,0.1120,0.5230,+0.000870
C,8676164,81,-0.161670,0.011350,0.1090,0.5740,+0.001520
C,8676164,82,-0.180280,0.013380,0.1320,0.5790,+0.001690
C,8676164,83,-0.164650,0.013750,0.1330,0.5580,+0.001680
D,8674997,0,-0.000550,0.008490,0.0830,0.5530,+0.001230
D,8674997,1,0.000720,0.005000,0.0390,0.5380,+0.000500
D,8674997,2,-0.001390,0.000530,0.0040,0.5990,+0.001560
D,8674997,3,-0.008270,0.007920,0.0400,0.5230,+0.000410
D,8674997,4,-0.016270,0.027640,0.1740,0.5740,+0.002710
D,8674997,5,-0.030180,0.025420,0.1590,0.5480,+0.001860
D,8674997,6,-0.048500,0.026760,0.2200,0.5840,+0.001950
D,8674997,7,-0.068990,0.019760,0.1320,0.5740,+0.001880
D,8674997,8,-0.069620,0.021800,0.1210,0.5480,+0.001850
D,8674997,9,-0.094200,0.022220,0.1300,0.5840,+0.002270
D,8674997,10,-0.070820,0.019500,0.1070,0.5480,+0.001910
D,8674997,11,-0.105590,0.015380,0.1310,0.6190,+0.002630
D,8674997,12,-0.107420,0.018010,0.1430,0.5840,+0.002440
D,8674997,13,-0.098290,0.014450,0.0970,0.5840,+0.001740
D,8674997,14,-0.119150,0.010460,0.0830,0.5740,+0.002090
D,8674997,15,-0.082860,0.017580,0.1080,0.5380,+0.001560
E,8675004,0,0.001450,-0.007980,-0.1240,0.4920,-0.000440
E,8675004,1,0.002700,-0.001320,-0.0080,0.5180,-0.000430
E,8675004,2,-0.003610,0.000510,0.0030,0.4670,-0.000630
E,8675004,3,-0.007400,0.003570,0.0190,0.4570,-0.000420
E,8675004,4,-0.018490,0.019990,0.1140,0.5080,+0.001410
E,8675004,5,-0.021270,0.021700,0.1160,0.5580,+0.001740
E,8675004,6,-0.038440,0.021330,0.1630,0.5790,+0.002500
E,8675004,7,-0.073140,0.016450,0.1180,0.5630,+0.002230
E,8675004,8,-0.065150,0.020670,0.1310,0.5330,+0.001820
E,8675004,9,-0.094280,0.020670,0.1240,0.5580,+0.001820
E,8675004,10,-0.073030,0.020280,0.1190,0.5480,+0.001840
E,8675004,11,-0.085940,0.022290,0.1390,0.5580,+0.002500
E,8675004,12,-0.100630,0.022090,0.1350,0.5740,+0.002380
E,8675004,13,-0.097500,0.020940,0.1300,0.5990,+0.002370
F,8676167,0,0.001530,-0.007900,-0.1220,0.4920,-0.000370
F,8676167,1,0.002900,-0.002270,-0.0150,0.5380,-0.000100
F,8676167,2,-0.003240,0.000330,0.0020,0.4720,-0.000670
F,8676167,3,-0.008630,0.002030,0.0110,0.4620,-0.000430
F,8676167,4,-0.016490,0.015270,0.0860,0.4920,+0.000540
F,8676167,5,-0.022330,0.019740,0.1060,0.5330,+0.001530
F,8676167,6,-0.036420,0.024220,0.1690,0.5790,+0.002800
F,8676167,7,-0.061840,0.020970,0.1560,0.6040,+0.002590
F,8676167,8,-0.069280,0.020030,0.1190,0.5330,+0.001760
F,8676167,9,-0.090530,0.019670,0.1190,0.5430,+0.001790
F,8676167,10,-0.077870,0.018600,0.1160,0.5580,+0.002030
F,8676167,11,-0.084820,0.019530,0.1140,0.5690,+0.001800
F,8676167,12,-0.097120,0.019600,0.1210,0.5690,+0.002230
F,8676167,13,-0.095820,0.018740,0.1160,0.5380,+0.002120
F,8676167,14,-0.116250,0.016120,0.1020,0.5330,+0.001730
F,8676167,15,-0.083830,0.014110,0.0920,0.5480,+0.001580
F,8676167,16,-0.105420,0.009120,0.0690,0.5840,+0.001780
F,8676167,17,-0.110630,0.012100,0.0870,0.5940,+0.001670
F,8676167,18,-0.099230,0.011920,0.0850,0.5580,+0.001780
F,8676167,19,-0.122450,0.012980,0.1010,0.5480,+0.001400
F,8676167,20,-0.095680,0.007050,0.0430,0.5380,+0.001040
F,8676167,21,-0.115980,0.009320,0.0760,0.5530,+0.001420
F,8676167,22,-0.113050,0.010280,0.0750,0.5530,+0.001740
G,8676168,0,0.001410,-0.007870,-0.1220,0.4970,-0.000410
G,8676168,1,0.002480,-0.001950,-0.0130,0.4870,-0.000550
G,8676168,2,-0.003950,0.000680,0.0040,0.4670,-0.000710
G,8676168,3,-0.007550,0.003870,0.0210,0.5080,-0.000320
G,8676168,4,-0.016570,0.021110,0.1250,0.5280,+0.001790
G,8676168,5,-0.022230,0.018780,0.1010,0.5430,+0.001300
G,8676168,6,-0.032910,0.020870,0.1240,0.5580,+0.002120
G,8676168,7,-0.062140,0.016040,0.1280,0.5630,+0.002070
G,8676168,8,-0.066140,0.020920,0.1280,0.5580,+0.002200
G,8676168,9,-0.085870,0.019510,0.1170,0.5580,+0.002220
G,8676168,10,-0.080300,0.019320,0.1160,0.5740,+0.002300
G,8676168,11,-0.085050,0.019410,0.1140,0.5380,+0.002100
G,8676168,12,-0.097030,0.020270,0.1320,0.5430,+0.002550
G,8676168,13,-0.095410,0.018080,0.1210,0.5940,+0.002300
G,8676168,14,-0.110470,0.019970,0.1460,0.6040,+0.002590
G,8676168,15,-0.081880,0.017620,0.1130,0.5740,+0.001550
G,8676168,16,-0.101160,0.014850,0.1170,0.5630,+0.001950
G,8676168,17,-0.119900,0.014780,0.1250,0.5690,+0.002160
G,8676168,18,-0.105430,0.012680,0.1030,0.5180,+0.001320
G,8676168,19,-0.129020,0.013460,0.1080,0.5580,+0.001900
G,8676168,20,-0.093950,0.012030,0.1070,0.5740,+0.001620
G,8676168,21,-0.113010,0.014860,0.1340,0.5580,+0.001880
G,8676168,22,-0.119680,0.015090,0.1250,0.5430,+0.001330
H,8676169,0,-0.000000,0.000460,0.0060,0.4310,-0.000460
H,8676169,1,-0.000380,0.000570,0.0060,0.4870,+0.000080
H,8676169,2,0.000500,0.002530,0.0160,0.4920,-0.000100
H,8676169,3,-0.011410,0.003860,0.0220,0.4720,-0.000120
H,8676169,4,-0.019610,0.015730,0.1030,0.5280,+0.001280
H,8676169,5,-0.025240,0.022520,0.1370,0.5530,+0.002040
H,8676169,6,-0.042110,0.020520,0.1540,0.5790,+0.001990
H,8676169,7,-0.071630,0.020060,0.1520,0.5430,+0.002310
H,8676169,8,-0.066920,0.019560,0.1350,0.5740,+0.002000
H,8676169,9,-0.085510,0.018560,0.1410,0.5690,+0.002140
H,8676169,10,-0.077430,0.016930,0.1200,0.5430,+0.001750
H,8676169,11,-0.092870,0.016090,0.1570,0.5230,+0.000890
H,8676169,12,-0.100150,0.018720,0.1930,0.6040,+0.002100
H,8676169,13,-0.101610,0.010460,0.1100,0.5430,+0.000610
H,8676169,14,-0.110610,0.014780,0.1460,0.5230,+0.001370
H,8676169,15,-0.084950,0.014510,0.1370,0.5180,+0.001010
H,8676169,16,-0.104520,0.012490,0.1360,0.5030,+0.000380
H,8676169,17,-0.121910,0.014740,0.1700,0.5740,+0.001230
H,8676169,18,-0.108510,0.020500,0.2440,0.5430,+0.001630
H,8676169,19,-0.133380,0.023270,0.2800,0.6040,+0.001840
H,8676169,20,-0.101920,0.010410,0.0810,0.5280,+0.000980
I,8676170,0,-0.002730,0.007710,0.0650,0.5430,+0.000400
I,8676170,1,-0.001300,0.023820,0.1880,0.6290,+0.003420
I,8676170,2,-0.004780,0.015360,0.1280,0.5890,+0.002210
I,8676170,3,-0.010720,0.021740,0.1520,0.5790,+0.002020
I,8676170,4,-0.015610,0.022490,0.1310,0.5180,+0.001230
I,8676170,5,-0.022050,0.027340,0.1840,0.5690,+0.003000
I,8676170,6,-0.036430,0.024810,0.1950,0.5580,+0.002270
I,8676170,7,-0.073930,0.019890,0.1740,0.5480,+0.002100
