variant,lr_stage,jobid,epoch,train_loss,val_ic,val_ic_ir,hit@50,spread@50
C,1em3,8698818,0,-0.002050,0.012280,0.1050,0.5430,+0.001510
C,1em3,8698818,1,-0.001910,0.015700,0.1530,0.5740,+0.002460
C,1em3,8698818,2,0.000470,0.012880,0.1250,0.6450,+0.002380
C,1em3,8698818,3,-0.005590,0.008090,0.0890,0.6350,+0.002310
C,1em3,8698818,4,-0.011780,0.013840,0.1070,0.5380,+0.001440
C,1em3,8698818,5,-0.023710,0.024820,0.1770,0.5380,+0.002210
C,1em3,8698818,6,-0.050380,0.022450,0.1410,0.5990,+0.002620
C,1em3,8698818,7,-0.080530,0.022920,0.1480,0.5840,+0.002920
C,1em3,8698818,8,-0.082590,0.021610,0.1300,0.5630,+0.002440
C,1em3,8698818,9,-0.085910,0.021810,0.1240,0.5690,+0.002230
C,1em3,8698818,10,-0.069550,0.018960,0.1030,0.5690,+0.001830
C,1em3,8698818,11,-0.096260,0.020890,0.1270,0.5940,+0.002440
C,1em3,8698818,12,-0.104880,0.021630,0.1350,0.5790,+0.002580
C,1em3,8698818,13,-0.098430,0.016700,0.0960,0.5630,+0.001780
C,1em3,8698818,14,-0.114170,0.019310,0.1370,0.6140,+0.002840
C,1em3,8698818,15,-0.077420,0.017690,0.1060,0.5690,+0.002060
C,1em3,8698818,16,-0.097940,0.015980,0.1170,0.6040,+0.002820
C,1em3,8698818,17,-0.116800,0.015130,0.1110,0.5990,+0.002730
C,1em3,8698818,18,-0.112570,0.013400,0.1040,0.5840,+0.002300
C,1em3,8698818,19,-0.139040,0.011950,0.0780,0.5580,+0.002120
C,1em3,8698818,20,-0.099790,0.011380,0.0790,0.5630,+0.001670
C,1em3,8698818,21,-0.114790,0.013370,0.0860,0.5580,+0.001760
C,1em3,8698818,22,-0.129260,0.012380,0.0980,0.6090,+0.002030
C,1em3,8698818,23,-0.109020,0.017180,0.1100,0.5890,+0.002570
C,1em3,8698818,24,-0.131520,0.014780,0.1100,0.5740,+0.002120
C,1em3,8698818,25,-0.109250,0.012630,0.0930,0.5840,+0.002220
C,1em3,8698818,26,-0.129270,0.014310,0.1070,0.6090,+0.002460
C,1em3,8698818,27,-0.123760,0.013120,0.1110,0.5840,+0.002480
C,1em3,8698818,28,-0.133210,0.014370,0.1030,0.5840,+0.002270
C,1em3,8698818,29,-0.139710,0.012420,0.0980,0.5530,+0.001570
